dato,skole,elevdag,laererdag,sfodag,kommentar
2017-05-13,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-05-14,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-05-15,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-16,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-17,Charlottenlund ungdomsskole,nei,nei,nei,17. mai
2017-05-18,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-19,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-20,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-05-21,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-05-22,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-23,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-24,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-25,Charlottenlund ungdomsskole,nei,nei,nei,Kr. hf. fridag
2017-05-26,Charlottenlund ungdomsskole,nei,nei,nei,Skole fri
2017-05-27,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-05-28,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-05-29,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-30,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-31,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-01,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-02,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-03,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-06-04,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-06-05,Charlottenlund ungdomsskole,nei,nei,nei,2. Pinsedag
2017-06-06,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-07,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-08,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-09,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-10,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-06-11,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-06-12,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-13,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-14,Charlottenlund ungdomsskole,ja,ja,ja,
2017-06-15,Charlottenlund ungdomsskole,ja,ja,ja,Siste skoledag
2017-06-16,Charlottenlund ungdomsskole,nei,nei,nei,BH fri
2017-06-17,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-18,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-19,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-20,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
